data_source,agency,country,entity,field,target_field,start_date,end_date,rules_order,match_type,condition,results
BingAds,OMD,ES,ESAXA,campaign_name,product,,,51,REGEXP_CONTAINS,"""autonomos""","""self-employed insurance"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,31,REGEXP_CONTAINS,"""autonomos""","""self-employed insurance"""
FacebookAds,OMD,ES,ESAXA,campaign_name,campaign_objective,,,1,REGEXP_EXTRACT,,"""traffic"""
GoogleAds,OMD,ES,ESAXA,date,week,,,9,DEFAULT,,EXTRACT(WEEK FROM date)
CM360,OMD,ES,ESAXA,date,week,,,4,DEFAULT,,EXTRACT(WEEK FROM date)
FacebookAds,OMD,ES,ESAXA,date,week,,,10,DEFAULT,,EXTRACT(WEEK FROM date)
BingAds,OMD,ES,ESAXA,date,week,,,6,DEFAULT,,EXTRACT(WEEK FROM date)
Outbrain,Jakala,ES,ESALL,date,week,,,3,DEFAULT,,EXTRACT(WEEK FROM date)
CM360,Jakala,ES,ESALL,date,week,,,13,DEFAULT,,EXTRACT(WEEK FROM date)
CM360,Jakala,ES,ESALL,mediapartner_saleshouse,mediapartner_saleshouse,,,7,DEFAULT,,"REPLACE(SPLIT(mediapartner_saleshouse, '_')[SAFE_OFFSET(2)], "" "", """")"
CM360,Jakala,ES,ESALL,placement,creative_format,,,1,REGEXP_EXTRACT,,"""([0-9]+x[0-9]+)"""
CM360,Jakala,ES,ESALL,placement,product,,,81,REGEXP_CONTAINS,"""auto_""","""auto"""
CM360,OMD,ES,ESAXA,placement,product,,,2,REGEXP_CONTAINS,"""auto_""","""auto"""
CM360,OMD,ES,ESAXA,placement,product,,,8,REGEXP_CONTAINS,"""bici""","""bike"""
CM360,OMD,ES,ESAXA,placement,buying_type,,,7,REGEXP_EXTRACT,,"""cpc"""
CM360,Jakala,ES,ESALL,placement,buying_type,,,12,REGEXP_EXTRACT,,"""cpc"""
CM360,Jakala,ES,ESALL,placement,buying_type,,,14,REGEXP_EXTRACT,,"""cpl"""
CM360,OMD,ES,ESAXA,placement,buying_type,,,9,REGEXP_EXTRACT,,"""cpl"""
CM360,OMD,ES,ESAXA,placement,buying_type,,,8,REGEXP_EXTRACT,,"""cpm"""
CM360,Jakala,ES,ESALL,placement,buying_type,,,13,REGEXP_EXTRACT,,"""cpm"""
CM360,Jakala,ES,ESALL,placement,buying_type,,,15,REGEXP_EXTRACT,,"""cpv"""
CM360,OMD,ES,ESAXA,placement,buying_type,,,10,REGEXP_EXTRACT,,"""cpv"""
CM360,OMD,ES,ESAXA,placement,product,,,10,REGEXP_EXTRACT,,"""dental"""
CM360,OMD,ES,ESAXA,placement,product,,,9,REGEXP_CONTAINS,"""pesca""","""fishing"""
CM360,Jakala,ES,ESALL,placement,product,,,82,REGEXP_EXTRACT,,"""health"""
CM360,OMD,ES,ESAXA,placement,product,,,4,REGEXP_CONTAINS,"""salud""","""health"""
CM360,Jakala,ES,ESALL,placement,business_classification_1,,,3,REGEXP_CONTAINS,"""salud""","""health"""
CM360,Jakala,ES,ESALL,placement,business_classification_1,,,2,REGEXP_CONTAINS,"""health""","""health"""
CM360,OMD,ES,ESAXA,placement,product,,,6,REGEXP_CONTAINS,"""hogar""","""home"""
CM360,OMD,ES,ESAXA,placement,product,,,7,REGEXP_CONTAINS,"""caza""","""hunting"""
CM360,OMD,ES,ESAXA,placement,product,,,3,REGEXP_CONTAINS,"""vida""","""life"""
CM360,Jakala,ES,ESALL,placement,business_classification_2,,,12,REGEXP_CONTAINS,"""moto""","""motor"""
CM360,Jakala,ES,ESALL,placement,business_classification_2,,,9,REGEXP_CONTAINS,"""auto_""","""motor"""
CM360,OMD,ES,ESAXA,placement,product,,,5,REGEXP_CONTAINS,"""moto""","""motorbike"""
CM360,Jakala,ES,ESALL,placement,product,,,83,REGEXP_CONTAINS,"""moto""","""motorbike"""
CM360,Jakala,ES,ESALL,placement,creative_type,,,2,REGEXP_CONTAINS,"""_1x1_""","""native-content"""
CM360,Jakala,ES,ESALL,placement,creative_type,,,1,REGEXP_CONTAINS,"""native""","""native-content"""
CM360,Jakala,ES,ESALL,placement,business_classification_1,,,1,REGEXP_CONTAINS,"""auto_""","""pc-personal-lines"""
